WKT,Kota/Kabupaten,Latitude,Longitude
"POINT (107.62 -7.0)",Kabupaten Bandung,-7.000000,107.620000
"POINT (107.472554 -6.837806)",Kabupaten Bandung Barat,-6.837806,107.472554
"POINT (107.00529 -6.236334)",Kabupaten Bekasi,-6.236334,107.005290
"POINT (106.806039 -6.597147)",Kabupaten Bogor,-6.597147,106.806039
"POINT (108.353756 -7.332487)",Kabupaten Ciamis,-7.332487,108.353756
"POINT (107.1426 -6.816474)",Kabupaten Cianjur,-6.816474,107.142600
"POINT (108.40461 -6.84098)",Kabupaten Cirebon,-6.840980,108.404610
"POINT (107.898048 -7.211197)",Kabupaten Garut,-7.211197,107.898048
"POINT (108.324876 -6.326488)",Kabupaten Indramayu,-6.326488,108.324876
"POINT (107.33758 -6.322725)",Kabupaten Karawang,-6.322725,107.337580
"POINT (108.4839 -6.977478)",Kabupaten Kuningan,-6.977478,108.483900
"POINT (108.227028 -6.838015)",Kabupaten Majalengka,-6.838015,108.227028
"POINT (108.4983 -7.620079)",Kabupaten Pangandaran,-7.620079,108.498300
"POINT (107.443214 -6.556757)",Kabupaten Purwakarta,-6.556757,107.443214
"POINT (107.76104 -6.57592)",Kabupaten Subang,-6.575920,107.761040
"POINT (106.927009 -6.91897)",Kabupaten Sukabumi,-6.918970,106.927009
"POINT (107.921785 -6.836191)",Kabupaten Sumedang,-6.836191,107.921785
"POINT (108.217827 -7.35)",Kabupaten Tasikmalaya,-7.350000,108.217827
"POINT (107.60981 -6.914744)",Kota Bandung,-6.914744,107.609810
"POINT (108.5342 -7.3737)",Kota Banjar,-7.373700,108.534200
"POINT (106.97557 -6.23827)",Kota Bekasi,-6.238270,106.975570
"POINT (106.816635 -6.595038)",Kota Bogor,-6.595038,106.816635
"POINT (107.54254 -6.87298)",Kota Cimahi,-6.872980,107.542540
"POINT (108.557014 -6.70629)",Kota Cirebon,-6.706290,108.557014
"POINT (106.794241 -6.402484)",Kota Depok,-6.402484,106.794241
"POINT (106.92575 -6.927367)",Kota Sukabumi,-6.927367,106.925750
"POINT (108.220484 -7.327383)",Kota Tasikmalaya,-7.327383,108.220484
